Depth (m);Temperature (deg_C);Conductivity (S/m);Salinity (PSU)
350;13.7495323879552;45.9446188095238;38.7774562535014
351;13.749118260971;45.9445486694678;38.7773660877684
352;13.7487052544351;45.9444800490196;38.7772762558357
353;13.7482932189542;45.9444127894491;38.7771867553688
354;13.7478820004668;45.9443467250233;38.7770975816994
355;13.747471468254;45.9442816316527;38.7770086531279
356;13.7470614845938;45.9442172572362;38.7769198716153
357;13.7466518814192;45.9441533496732;38.7768311764706
358;13.7462424883287;45.9440896195145;38.7767424626517
359;13.7458331395892;45.9440257843137;38.7766536227824
360;13.7454236858076;45.9439615966387;38.7765645774977
361;13.7450139962652;45.9438968464052;38.7764752661064
362;13.7446039472456;45.9438313702147;38.7763856676004
363;13.744193426704;45.9437650326797;38.7762957819795
364;13.743782369281;45.9436977170868;38.776205576564
365;13.7433707329598;45.9436293347339;38.7761150186742
366;13.742958505291;45.9435598015873;38.776024046841
367;13.7425457173981;45.9434890826331;38.7759326058201
368;13.742132429972;45.9434172043262;38.7758406629319
369;13.7417186920324;45.9433442032368;38.7757482018363
370;13.7413045502645;45.943270105042;38.7756551945223
371;13.7408900210084;45.9431949144102;38.7755616223156
372;13.7404751159353;45.9431186920324;38.7754675295674
373;13.7400598607221;45.9430415312792;38.7753729816371
374;13.7396442927171;45.9429634718332;38.7752779785247
375;13.7392284259259;45.9428845136944;38.7751824968877
376;13.7388122626828;45.9428046078431;38.7750864760349
377;13.7383958239963;45.9427236912543;38.7749898272642
378;13.7379791332088;45.9426416892312;38.7748924431995
379;13.7375622019919;45.94255856676;38.7747942608155
380;13.7371450093371;45.9424743261749;38.7746952941177
381;13.7367275140056;45.9423889931528;38.7745956092437
382;13.7363096778711;45.942302535014;38.7744952147526
383;13.735891468254;45.9422149019608;38.7743941013072
384;13.7354728571429;45.9421260690943;38.7742922689076
385;13.7350538235294;45.9420360060691;38.7741897012138
386;13.7346343837535;45.9419447300031;38.7740863927793
387;13.7342145681606;45.9418522424525;38.7739823093682
388;13.7337943860878;45.9417585247432;38.7738774229692
389;13.7333738118581;45.9416635792095;38.7737717615935
390;13.7329528221288;45.9415674525366;38.773665392935
391;13.7325314192344;45.9414702147526;38.7735583846872
392;13.7321096078431;45.9413719452225;38.7734508092126
393;13.7316873739496;45.9412727139745;38.7733427505447
394;13.7312647082166;45.9411725863679;38.7732342857143
395;13.7308416339869;45.9410716067538;38.7731254357299
396;13.7304182002801;45.9409698070339;38.7730161811391
397;13.7299944467787;45.9408672043262;38.772906494709
398;13.729570375817;45.9407638149704;38.7727963834423
399;13.7291459803922;45.9406596483038;38.7726858636788
400;13.7287212768441;45.9405547510115;38.7725749680984
401;13.7282962768441;45.9404491479925;38.7724637184874
402;13.727870961718;45.9403428516962;38.7723521467476
403;13.7274453291316;45.9402358948024;38.7722402785559
404;13.7270194211018;45.9401283356676;38.772128120915
405;13.7265933263305;45.9400202559913;38.7720156598195
406;13.7261671405229;45.939911739807;38.7719028742608
407;13.7257409547152;45.9398028431373;38.7717897268908
408;13.7253148498288;45.9396936391223;38.7716762122627
409;13.7248888842204;45.939584204793;38.771562351385
410;13.7244630843448;45.9394746234049;38.7714482057268
411;13.7240374361967;45.9393649937753;38.7713338904451
412;13.7236119211018;45.9392553921569;38.7712195004669
413;13.7231865320573;45.9391458769063;38.7711051011516
414;13.7227612620604;45.9390364760349;38.7709907345161
415;13.7223360807656;45.9389271872082;38.7708764425771
416;13.7219109624961;45.9388180104264;38.7707622580143
417;13.7214859095861;45.9387089410209;38.7706481784936
418;13.7210609313725;45.9385999836601;38.770534204015
419;13.7206360325241;45.938491100996;38.7704203018986
420;13.7202111686897;45.9383821973234;38.7703064301276
421;13.7197862558357;45.9382731839402;38.7701925910364
422;13.7193611904762;45.938164047619;38.7700788709929
423;13.7189358994709;45.9380548031435;38.7699653454715
424;13.7185103524743;45.9379453968254;38.769851984127
425;13.7180845487084;45.9378357757547;38.7697387278245
426;13.7176585045129;45.9377259049175;38.7696255182073
427;13.7172322315593;45.9376157609711;38.7695123085901
428;13.7168057461874;45.93750529723;38.7693990242764
429;13.7163790336134;45.9373944561158;38.7692856185808
430;13.71595208061;45.9372831948335;38.7691720518207
431;13.7155248755058;45.9371715040461;38.769058312325
432;13.7150974136321;45.9370593837535;38.7689443930906
433;13.7146696786492;45.9369468036103;38.7688302801121
434;13.7142416425459;45.9368337005913;38.7687159383754
435;13.7138132913165;45.9367200373483;38.7686013468721
436;13.7133846179583;45.9366057882042;38.7684864939309
437;13.7129556185808;45.9364908636788;38.7683713048553
438;13.712526276066;45.9363751058201;38.7682556512605
439;13.7120965624027;45.9362584072518;38.7681394631186
440;13.7116664519141;45.936140681606;38.7680226914099
441;13.7112359235917;45.9360218394024;38.7679052785559
442;13.7108049470899;45.9359018230626;38.7677872051043
443;13.7103734897292;45.9357806139122;38.767668487395
444;13.7099415686274;45.9356582018363;38.7675490927482
445;13.7095092016807;45.9355345946156;38.767429011827
446;13.7090764005602;45.9354097759104;38.7673082236228
447;13.7086431605976;45.9352837527233;38.7671867514784
448;13.7082094864612;45.9351565717398;38.7670646397448
449;13.7077753991597;45.9350283286648;38.7669419584501
450;13.7073409337068;45.9348991308746;38.7668187682851
451;13.7069061321195;45.9347691067538;38.7666951439465
452;13.7064710683162;45.9346384243697;38.7665711694678
453;13.7060358504513;45.934507307812;38.7664469545596
454;13.7056005718954;45.9343759718332;38.7663226089325
455;13.7051653073452;45.9342445774977;38.7661982026144
456;13.7047301361656;45.9341132492997;38.766073767507
457;13.7042951680672;45.9339821008403;38.7659493043884
458;13.7038605104264;45.9338512394958;38.7658248132586
459;13.7034262542795;45.9337207446312;38.7657002847806
460;13.7029924719888;45.9335906489262;38.765575681606
461;13.7025592172425;45.933460996732;38.7654509990663
462;13.7021265413943;45.9333318230626;38.7653262231559
463;13.7016944701214;45.9332031162465;38.7652013118581
464;13.7012630104264;45.9330748996265;38.7650762791784
465;13.7008321599751;45.9329471965453;38.7649511554622
466;13.7004019281046;45.9328199813259;38.7648259033614
467;13.6999723085901;45.9326932422969;38.7647005166511
468;13.6995432749767;45.9325669421102;38.7645749828821
469;13.6991148202614;45.9324410737628;38.764449309057
470;13.6986869444444;45.9323156535948;38.7643235231871
471;13.6982596428571;45.9321906699346;38.7641976276066
472;13.6978328851541;45.9320660971055;38.7640716316527
473;13.6974066363212;45.9319419257703;38.7639455633365
474;13.6969808660131;45.9318181917211;38.7638194833489
475;13.6965555532213;45.9316949805478;38.7636934850607
476;13.6961307002801;45.9315723809524;38.7635676361656
477;13.6957063258637;45.9314505143168;38.7634420206972
478;13.6952824673203;45.9313295487084;38.7633167647059
479;13.6948591736695;45.9312096125117;38.7631919382197
480;13.6944364985994;45.9310907640834;38.7630675319017
481;13.6940144911298;45.9309730174292;38.7629435060691
482;13.693593190943;45.9308563492063;38.762819789916
483;13.6931726097106;45.9307407454093;38.7626963468721
484;13.6927527521008;45.9306262387177;38.7625731909431
485;13.6923336134454;45.9305128968254;38.7624503828198
486;13.6919151797386;45.9304007710862;38.7623279761905
487;13.6914974393091;45.9302898700591;38.7622059780579
488;13.6910803874883;45.9301801657329;38.7620843604108
489;13.6906640102708;45.9300716300965;38.7619631139122
490;13.6902483239963;45.9299642872705;38.7618422525677
491;13.6898333683473;45.9298581699346;38.7617217717087
492;13.6894191830065;45.9297532314037;38.7616015873016
493;13.6890057983193;45.9296494179894;38.7614816153128
494;13.6885932422969;45.9295467203548;38.7613618277311
495;13.688181538282;45.9294452061936;38.7612422829132
496;13.6877707049486;45.9293449875506;38.761123085901
497;13.6873607656396;45.9292461858076;38.761004344071
498;13.6869517623716;45.9291489176782;38.7608861391223
499;13.6865437418301;45.9290531971677;38.7607684500467
500;13.6861367693744;45.9289589729225;38.7606511647993
501;13.6857309056956;45.9288662496109;38.7605342273576
502;13.6853262021475;45.9287750980392;38.7604176587302
503;13.684922700747;45.9286855835668;38.760301477591
504;13.684520445845;45.9285977661064;38.7601857002801
505;13.6841194514472;45.9285116619981;38.7600703338002
506;13.6837197058824;45.928427229225;38.7599553548086
507;13.6833212044818;45.9283444537815;38.7598407586368
508;13.6829239589169;45.9282633450047;38.7597265429505
509;13.6825279691877;45.9281838795518;38.7596126797386
510;13.6821332212885;45.9281059866169;38.7594991036415
511;13.6817396755369;45.9280295852785;38.7593857656396
512;13.6813472922502;45.927954589169;38.7592726143791
513;13.6809560434174;45.9278809049175;38.7591595868347
514;13.6805658986928;45.9278084694989;38.7590466526611
515;13.6801768137255;45.9277372650171;38.7589338429816
516;13.6797887418301;45.9276672774665;38.7588211951447
517;13.679401643324;45.9275984663865;38.7587087107065
518;13.6790155112045;45.9275308154373;38.7585963873327
519;13.6786303244631;45.927464301276;38.7584842273576
520;13.67824606676;45.9273988935574;38.7583722167756
521;13.6778627264239;45.9273346179583;38.7582603906007
522;13.6774802824463;45.9272715071584;38.7581488071895
523;13.6770987021475;45.9272095588235;38.7580375062247
524;13.6767179388422;45.9271487566137;38.7579265227202
525;13.6763379528478;45.9270890849673;38.7578158870215
526;13.6759587254902;45.9270305547774;38.7577056364768
527;13.6755802380952;45.9269731753812;38.7575957990974
528;13.6752024680984;45.9269169530034;38.7574864013383
529;13.6748254053844;45.9268618977591;38.7573774517585
530;13.6744490639589;45.9268079691876;38.7572688865546
531;13.6740734811702;45.9267551019296;38.7571605983505
532;13.6736986967009;45.9267032594149;38.757052508559
533;13.6733247268908;45.9266524206349;38.7569445751634
534;13.6729516090881;45.9266026019296;38.7568367584812
535;13.6725793806411;45.9265538266418;38.7567290305011
536;13.6722080812325;45.9265061041083;38.7566213562092
537;13.6718377466542;45.9264594421102;38.7565137013695
538;13.6714683994709;45.9264138538749;38.7564060511983
539;13.6711000793651;45.9263693814192;38.7562984056956
540;13.6707328120137;45.9263260784314;38.7561907905384
